Month,year,Category,budget amount,actual amount,variance,Status
Jul,2020,Utilities,3000,2811,189,Under Budget
Jul,2020,Shopping,5000,2158,2842,Under Budget
Jul,2020,Food & Drink,8000,1786,6214,Under Budget
Jul,2020,Salary,60000,110,59890,Under Budget
Aug,2020,Travel,4000,6221,-2221,Over Budget
Aug,2020,Entertainment,2500,2473,27,Under Budget
Aug,2020,Other,2000,10799,-8799,Over Budget
Aug,2020,Health & Fitness,3000,2813,187,Under Budget
Aug,2020,Investment,8000,4142,3858,Under Budget
Aug,2020,Utilities,3000,3377,-377,Over Budget
Aug,2020,Shopping,5000,6624,-1624,Over Budget
Aug,2020,Food & Drink,8000,5614,2386,Under Budget
Aug,2020,Salary,60000,1410,58590,Under Budget
Aug,2020,Rent,15000,2854,12146,Under Budget
Sep,2020,Rent,15000,5778,9222,Under Budget
Sep,2020,Other,2000,1385,615,Under Budget
Sep,2020,Travel,4000,4846,-846,Over Budget
Sep,2020,Shopping,5000,799,4201,Under Budget
Sep,2020,Entertainment,2500,393,2107,Under Budget
Sep,2020,Food & Drink,8000,2597,5403,Under Budget
Sep,2020,Health & Fitness,3000,214,2786,Under Budget
Sep,2020,Salary,60000,5907,54093,Under Budget
Sep,2020,Utilities,3000,980,2020,Under Budget
Oct,2020,Entertainment,2500,2710,-210,Over Budget
Oct,2020,Salary,60000,3826,56174,Under Budget
Oct,2020,Health & Fitness,3000,710,2290,Under Budget
Oct,2020,Travel,4000,4523,-523,Over Budget
Oct,2020,Investment,8000,12897,-4897,Over Budget
Oct,2020,Utilities,3000,1602,1398,Under Budget
Oct,2020,Rent,15000,6447,8553,Under Budget
Oct,2020,Food & Drink,8000,512,7488,Under Budget
Oct,2020,Shopping,5000,1834,3166,Under Budget
Nov,2020,Entertainment,2500,4669,-2169,Over Budget
Nov,2020,Utilities,3000,4432,-1432,Over Budget
Nov,2020,Rent,15000,129,14871,Under Budget
Nov,2020,Travel,4000,5143,-1143,Over Budget
Nov,2020,Salary,60000,4326,55674,Under Budget
Nov,2020,Shopping,5000,2263,2737,Under Budget
Nov,2020,Food & Drink,8000,5534,2466,Under Budget
Nov,2020,Health & Fitness,3000,241,2759,Under Budget
Nov,2020,Other,2000,4089,-2089,Over Budget
Nov,2020,Investment,8000,4280,3720,Under Budget
Dec,2020,Travel,4000,6835,-2835,Over Budget
Dec,2020,Salary,60000,4878,55122,Under Budget
Dec,2020,Shopping,5000,7111,-2111,Over Budget
Dec,2020,Utilities,3000,2884,116,Under Budget
Dec,2020,Entertainment,2500,1962,538,Under Budget
Dec,2020,Food & Drink,8000,2091,5909,Under Budget
Dec,2020,Other,2000,1322,678,Under Budget
Dec,2020,Rent,15000,2598,12402,Under Budget
Dec,2020,Investment,8000,2423,5577,Under Budget
Jan,2021,Food & Drink,8000,2548,5452,Under Budget
Jan,2021,Travel,4000,4531,-531,Over Budget
Jan,2021,Entertainment,2500,1067,1433,Under Budget
Jan,2021,Utilities,3000,1908,1092,Under Budget
Jan,2021,Other,2000,13564,-11564,Over Budget
Jan,2021,Salary,60000,518,59482,Under Budget
Jan,2021,Shopping,5000,2264,2736,Under Budget
Jan,2021,Health & Fitness,3000,2980,20,Under Budget
Feb,2021,Salary,60000,2176,57824,Under Budget
Feb,2021,Health & Fitness,3000,4299,-1299,Over Budget
Feb,2021,Rent,15000,1565,13435,Under Budget
Feb,2021,Shopping,5000,6306,-1306,Over Budget
Feb,2021,Travel,4000,3553,447,Under Budget
Feb,2021,Food & Drink,8000,1243,6757,Under Budget
Feb,2021,Investment,8000,804,7196,Under Budget
Feb,2021,Utilities,3000,783,2217,Under Budget
Mar,2021,Entertainment,2500,5568,-3068,Over Budget
Mar,2021,Other,2000,17378,-15378,Over Budget
Mar,2021,Health & Fitness,3000,4695,-1695,Over Budget
Mar,2021,Rent,15000,5685,9315,Under Budget
Mar,2021,Food & Drink,8000,2108,5892,Under Budget
Mar,2021,Utilities,3000,3820,-820,Over Budget
Mar,2021,Investment,8000,13088,-5088,Over Budget
Mar,2021,Travel,4000,1834,2166,Under Budget
Mar,2021,Shopping,5000,2213,2787,Under Budget
Mar,2021,Salary,60000,300,59700,Under Budget
Apr,2021,Health & Fitness,3000,2839,161,Under Budget
Apr,2021,Shopping,5000,5400,-400,Over Budget
Apr,2021,Travel,4000,3555,445,Under Budget
Apr,2021,Entertainment,2500,1114,1386,Under Budget
Apr,2021,Rent,15000,4028,10972,Under Budget
Apr,2021,Food & Drink,8000,1831,6169,Under Budget
Apr,2021,Utilities,3000,3272,-272,Over Budget
Apr,2021,Investment,8000,1168,6832,Under Budget
Apr,2021,Salary,60000,1059,58941,Under Budget
May,2021,Utilities,3000,3237,-237,Over Budget
May,2021,Entertainment,2500,2532,-32,Over Budget
May,2021,Health & Fitness,3000,3539,-539,Over Budget
May,2021,Food & Drink,8000,1783,6217,Under Budget
May,2021,Rent,15000,5961,9039,Under Budget
May,2021,Shopping,5000,1422,3578,Under Budget
May,2021,Investment,8000,5283,2717,Under Budget
May,2021,Salary,60000,3548,56452,Under Budget
May,2021,Travel,4000,1757,2243,Under Budget
Jun,2021,Utilities,3000,6356,-3356,Over Budget
Jun,2021,Health & Fitness,3000,3639,-639,Over Budget
Jun,2021,Investment,8000,5599,2401,Under Budget
Jun,2021,Salary,60000,1982,58018,Under Budget
Jun,2021,Shopping,5000,1666,3334,Under Budget
Jun,2021,Food & Drink,8000,3735,4265,Under Budget
Jun,2021,Rent,15000,3608,11392,Under Budget
Jun,2021,Entertainment,2500,1151,1349,Under Budget
Jul,2021,Entertainment,2500,2718,-218,Over Budget
Jul,2021,Salary,60000,5450,54550,Under Budget
Jul,2021,Other,2000,11996,-9996,Over Budget
Jul,2021,Shopping,5000,1551,3449,Under Budget
Jul,2021,Utilities,3000,4769,-1769,Over Budget
Jul,2021,Rent,15000,3731,11269,Under Budget
Jul,2021,Travel,4000,904,3096,Under Budget
Jul,2021,Investment,8000,730,7270,Under Budget
Aug,2021,Travel,4000,1288,2712,Under Budget
Aug,2021,Salary,60000,1930,58070,Under Budget
Aug,2021,Investment,8000,3025,4975,Under Budget
Aug,2021,Food & Drink,8000,4474,3526,Under Budget
Aug,2021,Shopping,5000,2345,2655,Under Budget
Aug,2021,Health & Fitness,3000,2049,951,Under Budget
Aug,2021,Other,2000,4420,-2420,Over Budget
Aug,2021,Utilities,3000,136,2864,Under Budget
Aug,2021,Entertainment,2500,2352,148,Under Budget
Sep,2021,Rent,15000,3661,11339,Under Budget
Sep,2021,Shopping,5000,2174,2826,Under Budget
Sep,2021,Other,2000,8357,-6357,Over Budget
Sep,2021,Travel,4000,2111,1889,Under Budget
Sep,2021,Utilities,3000,4065,-1065,Over Budget
Sep,2021,Salary,60000,1919,58081,Under Budget
Sep,2021,Food & Drink,8000,1373,6627,Under Budget
Sep,2021,Health & Fitness,3000,1781,1219,Under Budget
Sep,2021,Investment,8000,8088,-88,Over Budget
Oct,2021,Salary,60000,1901,58099,Under Budget
Oct,2021,Investment,8000,4203,3797,Under Budget
Oct,2021,Other,2000,9308,-7308,Over Budget
Oct,2021,Health & Fitness,3000,1339,1661,Under Budget
Oct,2021,Travel,4000,1784,2216,Under Budget
Oct,2021,Utilities,3000,2817,183,Under Budget
Oct,2021,Rent,15000,3135,11865,Under Budget
Oct,2021,Entertainment,2500,1583,917,Under Budget
Nov,2021,Health & Fitness,3000,3903,-903,Over Budget
Nov,2021,Utilities,3000,2170,830,Under Budget
Nov,2021,Investment,8000,5213,2787,Under Budget
Nov,2021,Travel,4000,3596,404,Under Budget
Nov,2021,Entertainment,2500,699,1801,Under Budget
Nov,2021,Rent,15000,1010,13990,Under Budget
Nov,2021,Food & Drink,8000,172,7828,Under Budget
Nov,2021,Shopping,5000,1842,3158,Under Budget
Nov,2021,Other,2000,7692,-5692,Over Budget
Nov,2021,Salary,60000,934,59066,Under Budget
Dec,2021,Health & Fitness,3000,2598,402,Under Budget
Dec,2021,Other,2000,18484,-16484,Over Budget
Dec,2021,Investment,8000,11998,-3998,Over Budget
Dec,2021,Shopping,5000,504,4496,Under Budget
Dec,2021,Utilities,3000,1629,1371,Under Budget
Dec,2021,Salary,60000,2568,57432,Under Budget
Dec,2021,Rent,15000,1045,13955,Under Budget
Dec,2021,Travel,4000,1652,2348,Under Budget
Jan,2022,Salary,60000,4211,55789,Under Budget
Jan,2022,Investment,8000,5971,2029,Under Budget
Jan,2022,Health & Fitness,3000,2330,670,Under Budget
Jan,2022,Travel,4000,2416,1584,Under Budget
Jan,2022,Food & Drink,8000,4505,3495,Under Budget
Jan,2022,Shopping,5000,2110,2890,Under Budget
Jan,2022,Entertainment,2500,3377,-877,Over Budget
Jan,2022,Utilities,3000,1885,1115,Under Budget
Jan,2022,Other,2000,4975,-2975,Over Budget
Feb,2022,Travel,4000,5453,-1453,Over Budget
Feb,2022,Salary,60000,1601,58399,Under Budget
Feb,2022,Shopping,5000,3371,1629,Under Budget
Feb,2022,Health & Fitness,3000,1910,1090,Under Budget
Feb,2022,Rent,15000,2065,12935,Under Budget
Feb,2022,Utilities,3000,227,2773,Under Budget
Feb,2022,Entertainment,2500,1772,728,Under Budget
Feb,2022,Other,2000,7142,-5142,Over Budget
Feb,2022,Investment,8000,12757,-4757,Over Budget
Feb,2022,Food & Drink,8000,3644,4356,Under Budget
Mar,2022,Salary,60000,6426,53574,Under Budget
Mar,2022,Other,2000,13128,-11128,Over Budget
Mar,2022,Investment,8000,7619,381,Under Budget
Mar,2022,Food & Drink,8000,4474,3526,Under Budget
Mar,2022,Entertainment,2500,4495,-1995,Over Budget
Mar,2022,Shopping,5000,3091,1909,Under Budget
Mar,2022,Rent,15000,1863,13137,Under Budget
Mar,2022,Travel,4000,4605,-605,Over Budget
Mar,2022,Utilities,3000,1778,1222,Under Budget
Mar,2022,Health & Fitness,3000,1003,1997,Under Budget
Apr,2022,Investment,8000,6018,1982,Under Budget
Apr,2022,Other,2000,4200,-2200,Over Budget
Apr,2022,Food & Drink,8000,4659,3341,Under Budget
Apr,2022,Utilities,3000,6295,-3295,Over Budget
Apr,2022,Shopping,5000,3807,1193,Under Budget
Apr,2022,Salary,60000,3091,56909,Under Budget
Apr,2022,Health & Fitness,3000,1959,1041,Under Budget
Apr,2022,Entertainment,2500,1633,867,Under Budget
May,2022,Entertainment,2500,7947,-5447,Over Budget
May,2022,Utilities,3000,2767,233,Under Budget
May,2022,Salary,60000,5700,54300,Under Budget
May,2022,Shopping,5000,5346,-346,Over Budget
May,2022,Investment,8000,7015,985,Under Budget
May,2022,Rent,15000,4417,10583,Under Budget
May,2022,Food & Drink,8000,2293,5707,Under Budget
May,2022,Health & Fitness,3000,2106,894,Under Budget
May,2022,Travel,4000,768,3232,Under Budget
May,2022,Other,2000,5302,-3302,Over Budget
Jun,2022,Food & Drink,8000,6619,1381,Under Budget
Jun,2022,Rent,15000,6829,8171,Under Budget
Jun,2022,Entertainment,2500,2948,-448,Over Budget
Jun,2022,Investment,8000,5819,2181,Under Budget
Jun,2022,Salary,60000,1993,58007,Under Budget
Jun,2022,Other,2000,5485,-3485,Over Budget
Jun,2022,Shopping,5000,2908,2092,Under Budget
Jun,2022,Health & Fitness,3000,2461,539,Under Budget
Jun,2022,Travel,4000,1800,2200,Under Budget
Jul,2022,Shopping,5000,4572,428,Under Budget
Jul,2022,Entertainment,2500,4433,-1933,Over Budget
Jul,2022,Health & Fitness,3000,774,2226,Under Budget
Jul,2022,Rent,15000,3682,11318,Under Budget
Jul,2022,Food & Drink,8000,795,7205,Under Budget
Jul,2022,Travel,4000,2543,1457,Under Budget
Jul,2022,Investment,8000,6769,1231,Under Budget
Jul,2022,Utilities,3000,1666,1334,Under Budget
Jul,2022,Salary,60000,726,59274,Under Budget
Jul,2022,Other,2000,4586,-2586,Over Budget
Aug,2022,Other,2000,8116,-6116,Over Budget
Aug,2022,Salary,60000,3128,56872,Under Budget
Aug,2022,Investment,8000,6292,1708,Under Budget
Aug,2022,Shopping,5000,7077,-2077,Over Budget
Aug,2022,Health & Fitness,3000,3392,-392,Over Budget
Aug,2022,Utilities,3000,2041,959,Under Budget
Aug,2022,Entertainment,2500,3931,-1431,Over Budget
Aug,2022,Food & Drink,8000,1906,6094,Under Budget
Aug,2022,Rent,15000,2771,12229,Under Budget
Sep,2022,Utilities,3000,5163,-2163,Over Budget
Sep,2022,Investment,8000,16058,-8058,Over Budget
Sep,2022,Rent,15000,4014,10986,Under Budget
Sep,2022,Entertainment,2500,1952,548,Under Budget
Sep,2022,Health & Fitness,3000,854,2146,Under Budget
Sep,2022,Salary,60000,1532,58468,Under Budget
Sep,2022,Shopping,5000,2137,2863,Under Budget
Sep,2022,Food & Drink,8000,1412,6588,Under Budget
Sep,2022,Travel,4000,1838,2162,Under Budget
Sep,2022,Other,2000,3965,-1965,Over Budget
Oct,2022,Food & Drink,8000,1732,6268,Under Budget
Oct,2022,Salary,60000,5958,54042,Under Budget
Oct,2022,Investment,8000,7195,805,Under Budget
Oct,2022,Travel,4000,457,3543,Under Budget
Oct,2022,Health & Fitness,3000,3881,-881,Over Budget
Oct,2022,Rent,15000,2358,12642,Under Budget
Oct,2022,Entertainment,2500,1030,1470,Under Budget
Oct,2022,Shopping,5000,340,4660,Under Budget
Oct,2022,Utilities,3000,654,2346,Under Budget
Nov,2022,Travel,4000,3091,909,Under Budget
Nov,2022,Rent,15000,3827,11173,Under Budget
Nov,2022,Shopping,5000,3266,1734,Under Budget
Nov,2022,Utilities,3000,2294,706,Under Budget
Nov,2022,Investment,8000,3138,4862,Under Budget
Nov,2022,Health & Fitness,3000,2617,383,Under Budget
Nov,2022,Food & Drink,8000,1841,6159,Under Budget
Nov,2022,Entertainment,2500,994,1506,Under Budget
Nov,2022,Salary,60000,1621,58379,Under Budget
Nov,2022,Other,2000,2157,-157,Over Budget
Dec,2022,Utilities,3000,4898,-1898,Over Budget
Dec,2022,Travel,4000,196,3804,Under Budget
Dec,2022,Rent,15000,5530,9470,Under Budget
Dec,2022,Entertainment,2500,864,1636,Under Budget
Dec,2022,Investment,8000,508,7492,Under Budget
Dec,2022,Salary,60000,28,59972,Under Budget
Dec,2022,Other,2000,3511,-1511,Over Budget
Jan,2023,Investment,8000,12940,-4940,Over Budget
Jan,2023,Entertainment,2500,5827,-3327,Over Budget
Jan,2023,Other,2000,13012,-11012,Over Budget
Jan,2023,Rent,15000,4417,10583,Under Budget
Jan,2023,Shopping,5000,3244,1756,Under Budget
Jan,2023,Travel,4000,2321,1679,Under Budget
Jan,2023,Food & Drink,8000,9084,-1084,Over Budget
Jan,2023,Utilities,3000,1590,1410,Under Budget
Jan,2023,Salary,60000,1909,58091,Under Budget
Jan,2023,Health & Fitness,3000,323,2677,Under Budget
Feb,2023,Utilities,3000,366,2634,Under Budget
Feb,2023,Food & Drink,8000,8451,-451,Over Budget
Feb,2023,Shopping,5000,457,4543,Under Budget
Feb,2023,Health & Fitness,3000,2660,340,Under Budget
Feb,2023,Other,2000,8571,-6571,Over Budget
Feb,2023,Travel,4000,2143,1857,Under Budget
Feb,2023,Entertainment,2500,1777,723,Under Budget
Feb,2023,Investment,8000,8696,-696,Over Budget
Feb,2023,Rent,15000,1016,13984,Under Budget
Mar,2023,Shopping,5000,4261,739,Under Budget
Mar,2023,Other,2000,19597,-17597,Over Budget
Mar,2023,Health & Fitness,3000,3639,-639,Over Budget
Mar,2023,Entertainment,2500,281,2219,Under Budget
Mar,2023,Rent,15000,2795,12205,Under Budget
Mar,2023,Travel,4000,932,3068,Under Budget
Mar,2023,Food & Drink,8000,438,7562,Under Budget
Mar,2023,Utilities,3000,1359,1641,Under Budget
Mar,2023,Salary,60000,3016,56984,Under Budget
Mar,2023,Investment,8000,6520,1480,Under Budget
Apr,2023,Entertainment,2500,2940,-440,Over Budget
Apr,2023,Food & Drink,8000,3509,4491,Under Budget
Apr,2023,Health & Fitness,3000,6156,-3156,Over Budget
Apr,2023,Shopping,5000,1264,3736,Under Budget
Apr,2023,Investment,8000,2642,5358,Under Budget
Apr,2023,Travel,4000,1199,2801,Under Budget
Apr,2023,Utilities,3000,570,2430,Under Budget
Apr,2023,Other,2000,1664,336,Under Budget
Apr,2023,Salary,60000,1089,58911,Under Budget
May,2023,Food & Drink,8000,1042,6958,Under Budget
May,2023,Utilities,3000,4144,-1144,Over Budget
May,2023,Other,2000,12424,-10424,Over Budget
May,2023,Investment,8000,7898,102,Under Budget
May,2023,Health & Fitness,3000,3556,-556,Over Budget
May,2023,Shopping,5000,4082,918,Under Budget
May,2023,Travel,4000,263,3737,Under Budget
May,2023,Entertainment,2500,3006,-506,Over Budget
May,2023,Rent,15000,1927,13073,Under Budget
Jun,2023,Investment,8000,7871,129,Under Budget
Jun,2023,Rent,15000,972,14028,Under Budget
Jun,2023,Salary,60000,5508,54492,Under Budget
Jun,2023,Utilities,3000,2864,136,Under Budget
Jun,2023,Food & Drink,8000,3215,4785,Under Budget
Jun,2023,Entertainment,2500,824,1676,Under Budget
Jun,2023,Travel,4000,1683,2317,Under Budget
Jun,2023,Shopping,5000,5005,-5,Over Budget
Jul,2023,Utilities,3000,4517,-1517,Over Budget
Jul,2023,Investment,8000,3443,4557,Under Budget
Jul,2023,Other,2000,4658,-2658,Over Budget
Jul,2023,Shopping,5000,2410,2590,Under Budget
Jul,2023,Rent,15000,4086,10914,Under Budget
Jul,2023,Health & Fitness,3000,7046,-4046,Over Budget
Jul,2023,Food & Drink,8000,2613,5387,Under Budget
Jul,2023,Salary,60000,1259,58741,Under Budget
Jul,2023,Travel,4000,2517,1483,Under Budget
Jul,2023,Entertainment,2500,1676,824,Under Budget
Aug,2023,Entertainment,2500,1101,1399,Under Budget
Aug,2023,Shopping,5000,2448,2552,Under Budget
Aug,2023,Investment,8000,5363,2637,Under Budget
Aug,2023,Salary,60000,363,59637,Under Budget
Aug,2023,Health & Fitness,3000,1618,1382,Under Budget
Aug,2023,Travel,4000,8190,-4190,Over Budget
Aug,2023,Food & Drink,8000,2684,5316,Under Budget
Aug,2023,Other,2000,2815,-815,Over Budget
Aug,2023,Rent,15000,969,14031,Under Budget
Sep,2023,Entertainment,2500,2493,7,Under Budget
Sep,2023,Shopping,5000,2255,2745,Under Budget
Sep,2023,Food & Drink,8000,2484,5516,Under Budget
Sep,2023,Travel,4000,5807,-1807,Over Budget
Sep,2023,Salary,60000,2109,57891,Under Budget
Sep,2023,Utilities,3000,7824,-4824,Over Budget
Sep,2023,Rent,15000,2348,12652,Under Budget
Sep,2023,Health & Fitness,3000,529,2471,Under Budget
Sep,2023,Investment,8000,5186,2814,Under Budget
Sep,2023,Other,2000,2740,-740,Over Budget
Oct,2023,Shopping,5000,1682,3318,Under Budget
Oct,2023,Health & Fitness,3000,4907,-1907,Over Budget
Oct,2023,Entertainment,2500,46,2454,Under Budget
Oct,2023,Investment,8000,14193,-6193,Over Budget
Oct,2023,Other,2000,2524,-524,Over Budget
Oct,2023,Salary,60000,1458,58542,Under Budget
Oct,2023,Utilities,3000,1541,1459,Under Budget
Oct,2023,Food & Drink,8000,2558,5442,Under Budget
Oct,2023,Rent,15000,1099,13901,Under Budget
Oct,2023,Travel,4000,1249,2751,Under Budget
Nov,2023,Investment,8000,11246,-3246,Over Budget
Nov,2023,Entertainment,2500,2117,383,Under Budget
Nov,2023,Utilities,3000,3194,-194,Over Budget
Nov,2023,Rent,15000,5718,9282,Under Budget
Nov,2023,Other,2000,2994,-994,Over Budget
Nov,2023,Travel,4000,2209,1791,Under Budget
Nov,2023,Health & Fitness,3000,2832,168,Under Budget
Nov,2023,Food & Drink,8000,1993,6007,Under Budget
Nov,2023,Salary,60000,3883,56117,Under Budget
Nov,2023,Shopping,5000,887,4113,Under Budget
Dec,2023,Entertainment,2500,2137,363,Under Budget
Dec,2023,Health & Fitness,3000,4355,-1355,Over Budget
Dec,2023,Rent,15000,2377,12623,Under Budget
Dec,2023,Salary,60000,6163,53837,Under Budget
Dec,2023,Shopping,5000,306,4694,Under Budget
Dec,2023,Food & Drink,8000,3536,4464,Under Budget
Dec,2023,Investment,8000,3601,4399,Under Budget
Dec,2023,Travel,4000,1781,2219,Under Budget
Jan,2024,Travel,4000,6514,-2514,Over Budget
Jan,2024,Rent,15000,1648,13352,Under Budget
Jan,2024,Investment,8000,15132,-7132,Over Budget
Jan,2024,Other,2000,7842,-5842,Over Budget
Jan,2024,Entertainment,2500,5456,-2956,Over Budget
Jan,2024,Utilities,3000,6290,-3290,Over Budget
Jan,2024,Salary,60000,3019,56981,Under Budget
Jan,2024,Health & Fitness,3000,3863,-863,Over Budget
Jan,2024,Shopping,5000,1352,3648,Under Budget
Jan,2024,Food & Drink,8000,1774,6226,Under Budget
Feb,2024,Travel,4000,3337,663,Under Budget
Feb,2024,Other,2000,9047,-7047,Over Budget
Feb,2024,Health & Fitness,3000,5037,-2037,Over Budget
Feb,2024,Salary,60000,3655,56345,Under Budget
Feb,2024,Entertainment,2500,7197,-4697,Over Budget
Feb,2024,Rent,15000,1865,13135,Under Budget
Feb,2024,Investment,8000,3590,4410,Under Budget
Feb,2024,Utilities,3000,927,2073,Under Budget
Feb,2024,Food & Drink,8000,1788,6212,Under Budget
Mar,2024,Health & Fitness,3000,1033,1967,Under Budget
Mar,2024,Salary,60000,2130,57870,Under Budget
Mar,2024,Entertainment,2500,4202,-1702,Over Budget
Mar,2024,Investment,8000,5763,2237,Under Budget
Mar,2024,Food & Drink,8000,4585,3415,Under Budget
Mar,2024,Rent,15000,419,14581,Under Budget
Mar,2024,Shopping,5000,1297,3703,Under Budget
Mar,2024,Utilities,3000,1553,1447,Under Budget
Mar,2024,Other,2000,1077,923,Under Budget
Mar,2024,Travel,4000,1217,2783,Under Budget
Apr,2024,Travel,4000,7108,-3108,Over Budget
Apr,2024,Other,2000,13013,-11013,Over Budget
Apr,2024,Utilities,3000,605,2395,Under Budget
Apr,2024,Rent,15000,1565,13435,Under Budget
Apr,2024,Health & Fitness,3000,1983,1017,Under Budget
Apr,2024,Investment,8000,9769,-1769,Over Budget
Apr,2024,Salary,60000,1904,58096,Under Budget
Apr,2024,Entertainment,2500,2279,221,Under Budget
May,2024,Rent,15000,3668,11332,Under Budget
May,2024,Food & Drink,8000,3057,4943,Under Budget
May,2024,Entertainment,2500,3646,-1146,Over Budget
May,2024,Salary,60000,1311,58689,Under Budget
May,2024,Other,2000,2329,-329,Over Budget
May,2024,Travel,4000,276,3724,Under Budget
May,2024,Utilities,3000,2991,9,Under Budget
May,2024,Investment,8000,1967,6033,Under Budget
May,2024,Health & Fitness,3000,873,2127,Under Budget
Jun,2024,Travel,4000,3566,434,Under Budget
Jun,2024,Utilities,3000,3461,-461,Over Budget
Jun,2024,Rent,15000,2364,12636,Under Budget
Jun,2024,Entertainment,2500,1038,1462,Under Budget
Jun,2024,Health & Fitness,3000,2422,578,Under Budget
Jun,2024,Food & Drink,8000,4550,3450,Under Budget
Jun,2024,Investment,8000,10069,-2069,Over Budget
Jun,2024,Other,2000,3901,-1901,Over Budget
Jun,2024,Salary,60000,3896,56104,Under Budget
Jun,2024,Shopping,5000,1257,3743,Under Budget
Jul,2024,Other,2000,8845,-6845,Over Budget
Jul,2024,Investment,8000,10509,-2509,Over Budget
Jul,2024,Shopping,5000,5350,-350,Over Budget
Jul,2024,Utilities,3000,2878,122,Under Budget
Jul,2024,Food & Drink,8000,6891,1109,Under Budget
Jul,2024,Rent,15000,1586,13414,Under Budget
Jul,2024,Salary,60000,4314,55686,Under Budget
Jul,2024,Entertainment,2500,2720,-220,Over Budget
Jul,2024,Health & Fitness,3000,3978,-978,Over Budget
Aug,2024,Food & Drink,8000,4313,3687,Under Budget
Aug,2024,Shopping,5000,4233,767,Under Budget
Aug,2024,Salary,60000,3792,56208,Under Budget
Aug,2024,Travel,4000,2476,1524,Under Budget
Aug,2024,Entertainment,2500,5094,-2594,Over Budget
Aug,2024,Health & Fitness,3000,1188,1812,Under Budget
Aug,2024,Investment,8000,1211,6789,Under Budget
Aug,2024,Rent,15000,1839,13161,Under Budget
Aug,2024,Other,2000,5444,-3444,Over Budget
Sep,2024,Health & Fitness,3000,2724,276,Under Budget
Sep,2024,Other,2000,12739,-10739,Over Budget
Sep,2024,Shopping,5000,2755,2245,Under Budget
Sep,2024,Rent,15000,1771,13229,Under Budget
Sep,2024,Travel,4000,3493,507,Under Budget
Sep,2024,Entertainment,2500,2675,-175,Over Budget
Sep,2024,Investment,8000,7209,791,Under Budget
Sep,2024,Food & Drink,8000,3049,4951,Under Budget
Sep,2024,Utilities,3000,1038,1962,Under Budget
