Month,year,actual income,actual expense,actual saving,Forcast income,Forcast expense,Forcast saving,Difference,Status
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
May,2020,6008,16846,-10838,0,0,0,10838,Above Forecast
May,2020,6008,16846,-10838,0,0,0,10838,Above Forecast
May,2020,6008,16846,-10838,0,0,0,10838,Above Forecast
May,2020,6008,16846,-10838,0,0,0,10838,Above Forecast
May,2020,6008,16846,-10838,0,0,0,10838,Above Forecast
May,2020,6008,16846,-10838,0,0,0,10838,Above Forecast
May,2020,6008,16846,-10838,0,0,0,10838,Above Forecast
May,2020,6008,16846,-10838,0,0,0,10838,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jun,2020,12346,20681,-8335,0,0,0,8335,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Jul,2020,6092,24026,-17934,0,0,0,17934,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Aug,2020,14941,31387,-16446,0,0,0,16446,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Sep,2020,1385,21515,-20130,0,0,0,20130,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Oct,2020,12897,22163,-9266,0,0,0,9266,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Nov,2020,8369,26735,-18366,0,0,0,18366,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Dec,2020,3745,28358,-24613,0,0,0,24613,Above Forecast
Jan,2021,13564,15817,-2253,5578,17138.25,-11560.25,-9307,Below Forecast
Jan,2021,13564,15817,-2253,5578,17138.25,-11560.25,-9307,Below Forecast
Jan,2021,13564,15817,-2253,5578,17138.25,-11560.25,-9307,Below Forecast
Jan,2021,13564,15817,-2253,5578,17138.25,-11560.25,-9307,Below Forecast
Jan,2021,13564,15817,-2253,5578,17138.25,-11560.25,-9307,Below Forecast
Jan,2021,13564,15817,-2253,5578,17138.25,-11560.25,-9307,Below Forecast
Jan,2021,13564,15817,-2253,5578,17138.25,-11560.25,-9307,Below Forecast
Jan,2021,13564,15817,-2253,5578,17138.25,-11560.25,-9307,Below Forecast
Feb,2021,804,19925,-19121,20070,17108.41,2961.59,22083,Above Forecast
Feb,2021,804,19925,-19121,20070,17108.41,2961.59,22083,Above Forecast
Feb,2021,804,19925,-19121,20070,17108.41,2961.59,22083,Above Forecast
Feb,2021,804,19925,-19121,20070,17108.41,2961.59,22083,Above Forecast
Feb,2021,804,19925,-19121,20070,17108.41,2961.59,22083,Above Forecast
Feb,2021,804,19925,-19121,20070,17108.41,2961.59,22083,Above Forecast
Feb,2021,804,19925,-19121,20070,17108.41,2961.59,22083,Above Forecast
Feb,2021,804,19925,-19121,20070,17108.41,2961.59,22083,Above Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Mar,2021,30466,26223,4243,3465,13581.81,-10116.81,-14360,Below Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
Apr,2021,1168,23098,-21930,7370,16233.05,-8863.05,13067,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
May,2021,5283,23781,-18498,6008,16846.13,-10838.13,7660,Above Forecast
Jun,2021,5599,22138,-16539,12346,20680.72,-8334.72,8204,Above Forecast
Jun,2021,5599,22138,-16539,12346,20680.72,-8334.72,8204,Above Forecast
Jun,2021,5599,22138,-16539,12346,20680.72,-8334.72,8204,Above Forecast
Jun,2021,5599,22138,-16539,12346,20680.72,-8334.72,8204,Above Forecast
Jun,2021,5599,22138,-16539,12346,20680.72,-8334.72,8204,Above Forecast
Jun,2021,5599,22138,-16539,12346,20680.72,-8334.72,8204,Above Forecast
Jun,2021,5599,22138,-16539,12346,20680.72,-8334.72,8204,Above Forecast
Jun,2021,5599,22138,-16539,12346,20680.72,-8334.72,8204,Above Forecast
Jul,2021,12726,19122,-6396,6092,24026.27,-17934.27,-11538,Below Forecast
Jul,2021,12726,19122,-6396,6092,24026.27,-17934.27,-11538,Below Forecast
Jul,2021,12726,19122,-6396,6092,24026.27,-17934.27,-11538,Below Forecast
Jul,2021,12726,19122,-6396,6092,24026.27,-17934.27,-11538,Below Forecast
Jul,2021,12726,19122,-6396,6092,24026.27,-17934.27,-11538,Below Forecast
Jul,2021,12726,19122,-6396,6092,24026.27,-17934.27,-11538,Below Forecast
Jul,2021,12726,19122,-6396,6092,24026.27,-17934.27,-11538,Below Forecast
Jul,2021,12726,19122,-6396,6092,24026.27,-17934.27,-11538,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Aug,2021,7445,14574,-7129,14941,31386.8,-16445.8,-9317,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Sep,2021,16445,17085,-640,1385,21515.15,-20130.15,-19490,Below Forecast
Oct,2021,13511,12560,951,12897,22162.99,-9265.99,-10217,Below Forecast
Oct,2021,13511,12560,951,12897,22162.99,-9265.99,-10217,Below Forecast
Oct,2021,13511,12560,951,12897,22162.99,-9265.99,-10217,Below Forecast
Oct,2021,13511,12560,951,12897,22162.99,-9265.99,-10217,Below Forecast
Oct,2021,13511,12560,951,12897,22162.99,-9265.99,-10217,Below Forecast
Oct,2021,13511,12560,951,12897,22162.99,-9265.99,-10217,Below Forecast
Oct,2021,13511,12560,951,12897,22162.99,-9265.99,-10217,Below Forecast
Oct,2021,13511,12560,951,12897,22162.99,-9265.99,-10217,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Nov,2021,12905,14325,-1420,8369,26735.16,-18366.16,-16946,Below Forecast
Dec,2021,30482,9997,20485,3745,28358.12,-24613.12,-45098,Below Forecast
Dec,2021,30482,9997,20485,3745,28358.12,-24613.12,-45098,Below Forecast
Dec,2021,30482,9997,20485,3745,28358.12,-24613.12,-45098,Below Forecast
Dec,2021,30482,9997,20485,3745,28358.12,-24613.12,-45098,Below Forecast
Dec,2021,30482,9997,20485,3745,28358.12,-24613.12,-45098,Below Forecast
Dec,2021,30482,9997,20485,3745,28358.12,-24613.12,-45098,Below Forecast
Dec,2021,30482,9997,20485,3745,28358.12,-24613.12,-45098,Below Forecast
Dec,2021,30482,9997,20485,3745,28358.12,-24613.12,-45098,Below Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Jan,2022,10946,20833,-9887,13564,15817.11,-2253.11,7634,Above Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Feb,2022,19899,20043,-144,804,19925.23,-19121.23,-18978,Below Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Mar,2022,20747,27736,-6989,30466,26223.24,4242.76,11232,Above Forecast
Apr,2022,10218,21445,-11227,1168,23097.71,-21929.71,-10703,Below Forecast
Apr,2022,10218,21445,-11227,1168,23097.71,-21929.71,-10703,Below Forecast
Apr,2022,10218,21445,-11227,1168,23097.71,-21929.71,-10703,Below Forecast
Apr,2022,10218,21445,-11227,1168,23097.71,-21929.71,-10703,Below Forecast
Apr,2022,10218,21445,-11227,1168,23097.71,-21929.71,-10703,Below Forecast
Apr,2022,10218,21445,-11227,1168,23097.71,-21929.71,-10703,Below Forecast
Apr,2022,10218,21445,-11227,1168,23097.71,-21929.71,-10703,Below Forecast
Apr,2022,10218,21445,-11227,1168,23097.71,-21929.71,-10703,Below Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
May,2022,12317,31344,-19027,5283,23780.78,-18497.78,529,Above Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jun,2022,11304,25558,-14254,5599,22137.63,-16538.63,-2285,Below Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Jul,2022,11355,19191,-7836,12726,19122.37,-6396.37,1439,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Aug,2022,14408,24246,-9838,7445,14574.03,-7129.03,2709,Above Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Sep,2022,20023,18902,1121,16445,17084.76,-639.76,-1761,Below Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Oct,2022,7195,16412,-9217,13511,12559.57,951.43,10169,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Nov,2022,5295,19551,-14256,12905,14325.37,-1420.37,12835,Above Forecast
Dec,2022,4019,11516,-7497,30482,9996.66,20485.34,27983,Above Forecast
Dec,2022,4019,11516,-7497,30482,9996.66,20485.34,27983,Above Forecast
Dec,2022,4019,11516,-7497,30482,9996.66,20485.34,27983,Above Forecast
Dec,2022,4019,11516,-7497,30482,9996.66,20485.34,27983,Above Forecast
Dec,2022,4019,11516,-7497,30482,9996.66,20485.34,27983,Above Forecast
Dec,2022,4019,11516,-7497,30482,9996.66,20485.34,27983,Above Forecast
Dec,2022,4019,11516,-7497,30482,9996.66,20485.34,27983,Above Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Jan,2023,25952,28715,-2763,10946,20832.61,-9886.61,-7124,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Feb,2023,17267,16870,397,19899,20042.69,-143.69,-541,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Mar,2023,26117,16721,9396,20747,27736.19,-6989.19,-16385,Below Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
Apr,2023,4306,16727,-12421,10218,21445.01,-11227.01,1194,Above Forecast
